League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
CBB,away,ML,away,ML,,,,,,
CBB,away,ML,home,ML,,,,,,
CBB,away,spread,away,ML,,,,,,
CBB,away,spread,home,ML,,,,,,
CBB,home,ML,away,ML,,,,,,
CBB,home,ML,home,ML,,,,,,
CBB,home,spread,away,ML,,,,,,
CBB,home,spread,home,ML,,,,,,
CBB,underdog,ML,favorite,ML,,,,,,
CBB,underdog,ML,underdog,ML,,,,,,
CBB,underdog,spread,favorite,ML,,,,,,
CBB,underdog,spread,underdog,ML,,,,,,
CBB,favorite,ML,favorite,ML,,,,,,
CBB,favorite,ML,underdog,ML,,,,,,
CBB,favorite,spread,favorite,ML,,,,,,
CBB,favorite,spread,underdog,ML,,,,,,
CBB,away,ML,away,spread,,,,,,
CBB,away,ML,home,spread,,,,,,
CBB,away,spread,away,spread,,,,,,
CBB,away,spread,home,spread,,,,,,
CBB,home,ML,away,spread,,,,,,
CBB,home,ML,home,spread,,,,,,
CBB,home,spread,away,spread,,,,,,
CBB,home,spread,home,spread,,,,,,
CBB,underdog,ML,favorite,spread,,,,,,
CBB,underdog,ML,underdog,spread,,,,,,
CBB,underdog,spread,favorite,spread,,,,,,
CBB,underdog,spread,underdog,spread,,,,,,
CBB,favorite,ML,favorite,spread,,,,,,
CBB,favorite,ML,underdog,spread,,,,,,
CBB,favorite,spread,favorite,spread,,,,,,
CBB,favorite,spread,underdog,spread,,,,,,
