League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
MLB,away,ML,away,ML,,,,,,
MLB,away,ML,home,ML,,,,,,
MLB,away,spread,away,ML,,,,,,
MLB,away,spread,home,ML,,,,,,
MLB,home,ML,away,ML,,,,,,
MLB,home,ML,home,ML,,,,,,
MLB,home,spread,away,ML,,,,,,
MLB,home,spread,home,ML,,,,,,
MLB,underdog,ML,favorite,ML,,,,,,
MLB,underdog,ML,underdog,ML,,,,,,
MLB,underdog,spread,favorite,ML,,,,,,
MLB,underdog,spread,underdog,ML,,,,,,
MLB,favorite,ML,favorite,ML,,,,,,
MLB,favorite,ML,underdog,ML,,,,,,
MLB,favorite,spread,favorite,ML,,,,,,
MLB,favorite,spread,underdog,ML,,,,,,
MLB,away,ML,away,spread,,,,,,
MLB,away,ML,home,spread,,,,,,
MLB,away,spread,away,spread,,,,,,
MLB,away,spread,home,spread,,,,,,
MLB,home,ML,away,spread,,,,,,
MLB,home,ML,home,spread,,,,,,
MLB,home,spread,away,spread,,,,,,
MLB,home,spread,home,spread,,,,,,
MLB,underdog,ML,favorite,spread,,,,,,
MLB,underdog,ML,underdog,spread,,,,,,
MLB,underdog,spread,favorite,spread,,,,,,
MLB,underdog,spread,underdog,spread,,,,,,
MLB,favorite,ML,favorite,spread,,,,,,
MLB,favorite,ML,underdog,spread,,,,,,
MLB,favorite,spread,favorite,spread,,,,,,
MLB,favorite,spread,underdog,spread,,,,,,
