League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
NBA,away,ML,away,ML,,,,,,
NBA,away,ML,home,ML,,,,,,
NBA,away,spread,away,ML,,,,,,
NBA,away,spread,home,ML,,,,,,
NBA,home,ML,away,ML,,,,,,
NBA,home,ML,home,ML,,,,,,
NBA,home,spread,away,ML,,,,,,
NBA,home,spread,home,ML,,,,,,
NBA,underdog,ML,favorite,ML,,,,,,
NBA,underdog,ML,underdog,ML,,,,,,
NBA,underdog,spread,favorite,ML,,,,,,
NBA,underdog,spread,underdog,ML,,,,,,
NBA,favorite,ML,favorite,ML,,,,,,
NBA,favorite,ML,underdog,ML,,,,,,
NBA,favorite,spread,favorite,ML,,,,,,
NBA,favorite,spread,underdog,ML,,,,,,
NBA,away,ML,away,spread,,,,,,
NBA,away,ML,home,spread,,,,,,
NBA,away,spread,away,spread,,,,,,
NBA,away,spread,home,spread,,,,,,
NBA,home,ML,away,spread,,,,,,
NBA,home,ML,home,spread,,,,,,
NBA,home,spread,away,spread,,,,,,
NBA,home,spread,home,spread,,,,,,
NBA,underdog,ML,favorite,spread,,,,,,
NBA,underdog,ML,underdog,spread,,,,,,
NBA,underdog,spread,favorite,spread,,,,,,
NBA,underdog,spread,underdog,spread,,,,,,
NBA,favorite,ML,favorite,spread,,,,,,
NBA,favorite,ML,underdog,spread,,,,,,
NBA,favorite,spread,favorite,spread,,,,,,
NBA,favorite,spread,underdog,spread,,,,,,
