League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
NFL,away,ML,away,ML,,,,,,
NFL,away,ML,home,ML,,,,,,
NFL,away,spread,away,ML,,,,,,
NFL,away,spread,home,ML,,,,,,
NFL,home,ML,away,ML,,,,,,
NFL,home,ML,home,ML,,,,,,
NFL,home,spread,away,ML,,,,,,
NFL,home,spread,home,ML,,,,,,
NFL,underdog,ML,favorite,ML,,,,,,
NFL,underdog,ML,underdog,ML,,,,,,
NFL,underdog,spread,favorite,ML,,,,,,
NFL,underdog,spread,underdog,ML,,,,,,
NFL,favorite,ML,favorite,ML,,,,,,
NFL,favorite,ML,underdog,ML,,,,,,
NFL,favorite,spread,favorite,ML,,,,,,
NFL,favorite,spread,underdog,ML,,,,,,
NFL,away,ML,away,spread,,,,,,
NFL,away,ML,home,spread,,,,,,
NFL,away,spread,away,spread,,,,,,
NFL,away,spread,home,spread,,,,,,
NFL,home,ML,away,spread,,,,,,
NFL,home,ML,home,spread,,,,,,
NFL,home,spread,away,spread,,,,,,
NFL,home,spread,home,spread,,,,,,
NFL,underdog,ML,favorite,spread,,,,,,
NFL,underdog,ML,underdog,spread,,,,,,
NFL,underdog,spread,favorite,spread,,,,,,
NFL,underdog,spread,underdog,spread,,,,,,
NFL,favorite,ML,favorite,spread,,,,,,
NFL,favorite,ML,underdog,spread,,,,,,
NFL,favorite,spread,favorite,spread,,,,,,
NFL,favorite,spread,underdog,spread,,,,,,
