League,Bet?,Bet Type?,Side Data?,Bet Type Data?,Sharp,no_bets,Public,no_bets,Money,no_bets
NHL,away,ML,away,ML,,,,,,
NHL,away,ML,home,ML,,,,,,
NHL,away,spread,away,ML,,,,,,
NHL,away,spread,home,ML,,,,,,
NHL,home,ML,away,ML,,,,,,
NHL,home,ML,home,ML,,,,,,
NHL,home,spread,away,ML,,,,,,
NHL,home,spread,home,ML,,,,,,
NHL,underdog,ML,favorite,ML,,,,,,
NHL,underdog,ML,underdog,ML,,,,,,
NHL,underdog,spread,favorite,ML,,,,,,
NHL,underdog,spread,underdog,ML,,,,,,
NHL,favorite,ML,favorite,ML,,,,,,
NHL,favorite,ML,underdog,ML,,,,,,
NHL,favorite,spread,favorite,ML,,,,,,
NHL,favorite,spread,underdog,ML,,,,,,
NHL,away,ML,away,spread,,,,,,
NHL,away,ML,home,spread,,,,,,
NHL,away,spread,away,spread,,,,,,
NHL,away,spread,home,spread,,,,,,
NHL,home,ML,away,spread,,,,,,
NHL,home,ML,home,spread,,,,,,
NHL,home,spread,away,spread,,,,,,
NHL,home,spread,home,spread,,,,,,
NHL,underdog,ML,favorite,spread,,,,,,
NHL,underdog,ML,underdog,spread,,,,,,
NHL,underdog,spread,favorite,spread,,,,,,
NHL,underdog,spread,underdog,spread,,,,,,
NHL,favorite,ML,favorite,spread,,,,,,
NHL,favorite,ML,underdog,spread,,,,,,
NHL,favorite,spread,favorite,spread,,,,,,
NHL,favorite,spread,underdog,spread,,,,,,
