"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",61,"9 / 604",NA,"NA / 638",NA,"NA / 605"
"2","CBB","away","ML","home","ML",NA,"NA / 604",77,"52 / 638",NA,"NA / 605"
"3","CBB","away","spread","away","ML",76,"5 / 764",NA,"NA / 822",98,"26 / 768"
"4","CBB","away","spread","home","ML",NA,"NA / 764",77,"82 / 822",NA,"NA / 768"
"5","CBB","home","ML","away","ML",14,"186 / 604",88,"12 / 638",72,"156 / 605"
"6","CBB","home","ML","home","ML",25,"140 / 604",96,"4 / 638",93,"73 / 605"
"7","CBB","home","spread","away","ML",51,"31 / 764",82,"32 / 822",NA,"NA / 768"
"8","CBB","home","spread","home","ML",51,"39 / 764",96,"8 / 822",NA,"NA / 768"
"9","CBB","underdog","ML","favorite","ML",54,"6 / 601",NA,"NA / 635",NA,"NA / 602"
"10","CBB","underdog","ML","underdog","ML",NA,"NA / 601",89,"18 / 635",NA,"NA / 602"
"11","CBB","underdog","spread","favorite","ML",NA,"NA / 761",NA,"NA / 819",95,"15 / 765"
"12","CBB","underdog","spread","underdog","ML",NA,"NA / 761",81,"63 / 819",NA,"NA / 765"
"13","CBB","favorite","ML","favorite","ML",17,"76 / 601",80,"28 / 635",71,"50 / 602"
"14","CBB","favorite","ML","underdog","ML",60,"20 / 601",99,"2 / 635",98,"50 / 602"
"15","CBB","favorite","spread","favorite","ML",54,"13 / 761",75,"52 / 819",100,"1 / 765"
"16","CBB","favorite","spread","underdog","ML",59,"31 / 761",NA,"NA / 819",100,"3 / 765"
"17","CBB","away","ML","away","spread",38,"12 / 654",76,"33 / 654",98,"1 / 654"
"18","CBB","away","ML","home","spread",NA,"NA / 654",NA,"NA / 654",NA,"NA / 654"
"19","CBB","away","spread","away","spread",35,"26 / 846",NA,"NA / 846",96,"3 / 846"
"20","CBB","away","spread","home","spread",53,"1 / 846",82,"8 / 846",NA,"NA / 846"
"21","CBB","home","ML","away","spread",46,"5 / 654",84,"2 / 654",90,"14 / 654"
"22","CBB","home","ML","home","spread",24,"47 / 654",61,"167 / 654",69,"102 / 654"
"23","CBB","home","spread","away","spread",46,"6 / 846",74,"59 / 846",79,"76 / 846"
"24","CBB","home","spread","home","spread",17,"123 / 846",NA,"NA / 846",72,"124 / 846"
"25","CBB","underdog","ML","favorite","spread",38,"11 / 651",NA,"NA / 651",87,"13 / 651"
"26","CBB","underdog","ML","underdog","spread",49,"2 / 651",NA,"NA / 651",NA,"NA / 651"
"27","CBB","underdog","spread","favorite","spread",38,"18 / 843",NA,"NA / 843",96,"2 / 843"
"28","CBB","underdog","spread","underdog","spread",49,"3 / 843",81,"18 / 843",93,"12 / 843"
"29","CBB","favorite","ML","favorite","spread",54,"1 / 651",70,"10 / 651",NA,"NA / 651"
"30","CBB","favorite","ML","underdog","spread",22,"54 / 651",71,"125 / 651",98,"1 / 651"
"31","CBB","favorite","spread","favorite","spread",58,"1 / 843",74,"4 / 843",81,"33 / 843"
"32","CBB","favorite","spread","underdog","spread",19,"104 / 843",NA,"NA / 843",98,"1 / 843"
