"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",38,"22 / 454",59,"152 / 473",69,"114 / 454"
"2","CBB","away","ML","home","ML",NA,"NA / 454",60,"156 / 473",NA,"NA / 454"
"3","CBB","away","spread","away","ML",61,"6 / 610",76,"52 / 652",100,"1 / 613"
"4","CBB","away","spread","home","ML",27,"127 / 610",99,"1 / 652",86,"145 / 613"
"5","CBB","home","ML","away","ML",35,"27 / 454",95,"4 / 473",NA,"NA / 454"
"6","CBB","home","ML","home","ML",48,"25 / 454",NA,"NA / 473",NA,"NA / 454"
"7","CBB","home","spread","away","ML",37,"39 / 610",96,"5 / 652",97,"31 / 613"
"8","CBB","home","spread","home","ML",58,"19 / 610",98,"4 / 652",NA,"NA / 613"
"9","CBB","underdog","ML","favorite","ML",34,"18 / 451",59,"95 / 470",63,"50 / 451"
"10","CBB","underdog","ML","underdog","ML",67,"2 / 451",79,"35 / 470",NA,"NA / 451"
"11","CBB","underdog","spread","favorite","ML",90,"1 / 607",58,"138 / 649",71,"54 / 610"
"12","CBB","underdog","spread","underdog","ML",76,"5 / 607",95,"19 / 649",97,"75 / 610"
"13","CBB","favorite","ML","favorite","ML",NA,"NA / 451",94,"1 / 470",99,"1 / 451"
"14","CBB","favorite","ML","underdog","ML",51,"22 / 451",NA,"NA / 470",100,"1 / 451"
"15","CBB","favorite","spread","favorite","ML",31,"34 / 607",NA,"NA / 649",99,"1 / 610"
"16","CBB","favorite","spread","underdog","ML",53,"31 / 607",98,"5 / 649",100,"1 / 610"
"17","CBB","away","ML","away","spread",25,"33 / 477",72,"42 / 477",NA,"NA / 477"
"18","CBB","away","ML","home","spread",-7,"311 / 477",NA,"NA / 477",59,"134 / 477"
"19","CBB","away","spread","away","spread",NA,"NA / 668",NA,"NA / 668",NA,"NA / 668"
"20","CBB","away","spread","home","spread",17,"82 / 668",78,"13 / 668",61,"190 / 668"
"21","CBB","home","ML","away","spread",35,"9 / 477",81,"4 / 477",78,"38 / 477"
"22","CBB","home","ML","home","spread",23,"28 / 477",74,"21 / 477",NA,"NA / 477"
"23","CBB","home","spread","away","spread",33,"19 / 668",76,"29 / 668",87,"19 / 668"
"24","CBB","home","spread","home","spread",45,"5 / 668",84,"5 / 668",NA,"NA / 668"
"25","CBB","underdog","ML","favorite","spread",24,"47 / 474",73,"2 / 474",87,"9 / 474"
"26","CBB","underdog","ML","underdog","spread",3,"149 / 474",NA,"NA / 474",76,"37 / 474"
"27","CBB","underdog","spread","favorite","spread",24,"72 / 665",53,"155 / 665",76,"43 / 665"
"28","CBB","underdog","spread","underdog","spread",3,"232 / 665",79,"24 / 665",73,"113 / 665"
"29","CBB","favorite","ML","favorite","spread",51,"3 / 474",64,"24 / 474",72,"43 / 474"
"30","CBB","favorite","ML","underdog","spread",48,"1 / 474",75,"42 / 474",NA,"NA / 474"
"31","CBB","favorite","spread","favorite","spread",35,"19 / 665",77,"1 / 665",89,"8 / 665"
"32","CBB","favorite","spread","underdog","spread",NA,"NA / 665",NA,"NA / 665",NA,"NA / 665"
