"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",69,"2 / 601",NA,"NA / 613",100,"1 / 601"
"2","CBB","away","ML","home","ML",40,"44 / 601",87,"5 / 613",NA,"NA / 601"
"3","CBB","away","spread","away","ML",68,"3 / 848",NA,"NA / 883",100,"1 / 850"
"4","CBB","away","spread","home","ML",32,"122 / 848",83,"36 / 883",99,"12 / 850"
"5","CBB","home","ML","away","ML",43,"20 / 601",86,"11 / 613",98,"8 / 601"
"6","CBB","home","ML","home","ML",86,"2 / 601",91,"2 / 613",98,"13 / 601"
"7","CBB","home","spread","away","ML",24,"113 / 848",85,"18 / 883",88,"98 / 850"
"8","CBB","home","spread","home","ML",88,"1 / 848",97,"5 / 883",NA,"NA / 850"
"9","CBB","underdog","ML","favorite","ML",NA,"NA / 598",NA,"NA / 610",NA,"NA / 598"
"10","CBB","underdog","ML","underdog","ML",43,"49 / 598",86,"13 / 610",NA,"NA / 598"
"11","CBB","underdog","spread","favorite","ML",NA,"NA / 845",NA,"NA / 880",NA,"NA / 847"
"12","CBB","underdog","spread","underdog","ML",33,"147 / 845",85,"36 / 880",99,"18 / 847"
"13","CBB","favorite","ML","favorite","ML",13,"57 / 598",74,"22 / 610",42,"158 / 598"
"14","CBB","favorite","ML","underdog","ML",69,"4 / 598",79,"36 / 610",100,"1 / 598"
"15","CBB","favorite","spread","favorite","ML",22,"67 / 845",74,"34 / 880",73,"58 / 847"
"16","CBB","favorite","spread","underdog","ML",65,"10 / 845",98,"4 / 880",100,"1 / 847"
"17","CBB","away","ML","away","spread",NA,"NA / 617",85,"2 / 617",NA,"NA / 617"
"18","CBB","away","ML","home","spread",46,"1 / 617",NA,"NA / 617",92,"1 / 617"
"19","CBB","away","spread","away","spread",23,"77 / 902",NA,"NA / 902",98,"3 / 902"
"20","CBB","away","spread","home","spread",NA,"NA / 902",84,"10 / 902",82,"48 / 902"
"21","CBB","home","ML","away","spread",27,"31 / 617",76,"32 / 617",74,"74 / 617"
"22","CBB","home","ML","home","spread",28,"24 / 617",76,"12 / 617",73,"46 / 617"
"23","CBB","home","spread","away","spread",36,"22 / 902",76,"44 / 902",75,"82 / 902"
"24","CBB","home","spread","home","spread",31,"23 / 902",NA,"NA / 902",89,"19 / 902"
"25","CBB","underdog","ML","favorite","spread",NA,"NA / 614",72,"3 / 614",NA,"NA / 614"
"26","CBB","underdog","ML","underdog","spread",20,"56 / 614",NA,"NA / 614",78,"47 / 614"
"27","CBB","underdog","spread","favorite","spread",48,"5 / 899",70,"8 / 899",NA,"NA / 899"
"28","CBB","underdog","spread","underdog","spread",NA,"NA / 899",84,"13 / 899",78,"98 / 899"
"29","CBB","favorite","ML","favorite","spread",29,"19 / 614",74,"1 / 614",77,"18 / 614"
"30","CBB","favorite","ML","underdog","spread",31,"15 / 614",84,"3 / 614",89,"7 / 614"
"31","CBB","favorite","spread","favorite","spread",36,"20 / 899",60,"78 / 899",84,"13 / 899"
"32","CBB","favorite","spread","underdog","spread",31,"24 / 899",NA,"NA / 899",89,"25 / 899"
