"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",45,"12 / 627",95,"2 / 635",NA,"NA / 627"
"2","CBB","away","ML","home","ML",NA,"NA / 627",NA,"NA / 635",NA,"NA / 627"
"3","CBB","away","spread","away","ML",45,"25 / 856",77,"51 / 887",NA,"NA / 857"
"4","CBB","away","spread","home","ML",84,"5 / 856",97,"3 / 887",NA,"NA / 857"
"5","CBB","home","ML","away","ML",13,"141 / 627",81,"20 / 635",59,"208 / 627"
"6","CBB","home","ML","home","ML",60,"12 / 627",76,"48 / 635",NA,"NA / 627"
"7","CBB","home","spread","away","ML",60,"13 / 856",91,"13 / 887",95,"33 / 857"
"8","CBB","home","spread","home","ML",64,"12 / 856",78,"73 / 887",89,"185 / 857"
"9","CBB","underdog","ML","favorite","ML",-2,"152 / 620",NA,"NA / 628",48,"103 / 620"
"10","CBB","underdog","ML","underdog","ML",27,"138 / 620",NA,"NA / 628",NA,"NA / 620"
"11","CBB","underdog","spread","favorite","ML",NA,"NA / 849",74,"32 / 880",NA,"NA / 850"
"12","CBB","underdog","spread","underdog","ML",72,"12 / 849",97,"3 / 880",NA,"NA / 850"
"13","CBB","favorite","ML","favorite","ML",46,"2 / 620",80,"10 / 628",NA,"NA / 620"
"14","CBB","favorite","ML","underdog","ML",75,"6 / 620",87,"11 / 628",NA,"NA / 620"
"15","CBB","favorite","spread","favorite","ML",38,"26 / 849",91,"9 / 880",92,"17 / 850"
"16","CBB","favorite","spread","underdog","ML",46,"53 / 849",79,"72 / 880",NA,"NA / 850"
"17","CBB","away","ML","away","spread",NA,"NA / 636",NA,"NA / 636",NA,"NA / 636"
"18","CBB","away","ML","home","spread",NA,"NA / 636",76,"17 / 636",95,"1 / 636"
"19","CBB","away","spread","away","spread",NA,"NA / 898",NA,"NA / 898",NA,"NA / 898"
"20","CBB","away","spread","home","spread",51,"1 / 898",81,"19 / 898",94,"11 / 898"
"21","CBB","home","ML","away","spread",15,"81 / 636",74,"39 / 636",62,"152 / 636"
"22","CBB","home","ML","home","spread",17,"83 / 636",NA,"NA / 636",77,"38 / 636"
"23","CBB","home","spread","away","spread",15,"132 / 898",76,"35 / 898",82,"19 / 898"
"24","CBB","home","spread","home","spread",20,"96 / 898",NA,"NA / 898",70,"184 / 898"
"25","CBB","underdog","ML","favorite","spread",NA,"NA / 629",49,"185 / 629",54,"154 / 629"
"26","CBB","underdog","ML","underdog","spread",NA,"NA / 629",76,"44 / 629",80,"34 / 629"
"27","CBB","underdog","spread","favorite","spread",NA,"NA / 891",73,"5 / 891",64,"95 / 891"
"28","CBB","underdog","spread","underdog","spread",51,"1 / 891",78,"61 / 891",94,"12 / 891"
"29","CBB","favorite","ML","favorite","spread",59,"1 / 629",69,"12 / 629",90,"2 / 629"
"30","CBB","favorite","ML","underdog","spread",30,"14 / 629",NA,"NA / 629",84,"15 / 629"
"31","CBB","favorite","spread","favorite","spread",31,"25 / 891",67,"23 / 891",92,"4 / 891"
"32","CBB","favorite","spread","underdog","spread",21,"77 / 891",NA,"NA / 891",97,"3 / 891"
