"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",32,"35 / 534",NA,"NA / 547",NA,"NA / 534"
"2","CBB","away","ML","home","ML",28,"76 / 534",52,"278 / 547",71,"193 / 534"
"3","CBB","away","spread","away","ML",NA,"NA / 672",83,"22 / 703",NA,"NA / 672"
"4","CBB","away","spread","home","ML",NA,"NA / 672",91,"17 / 703",NA,"NA / 672"
"5","CBB","home","ML","away","ML",5,"187 / 534",63,"138 / 547",58,"178 / 534"
"6","CBB","home","ML","home","ML",42,"28 / 534",NA,"NA / 547",99,"7 / 534"
"7","CBB","home","spread","away","ML",6,"225 / 672",64,"154 / 703",59,"210 / 672"
"8","CBB","home","spread","home","ML",41,"47 / 672",NA,"NA / 703",NA,"NA / 672"
"9","CBB","underdog","ML","favorite","ML",-8,"207 / 529",NA,"NA / 542",52,"93 / 529"
"10","CBB","underdog","ML","underdog","ML",27,"116 / 529",49,"387 / 542",56,"392 / 529"
"11","CBB","underdog","spread","favorite","ML",NA,"NA / 667",80,"17 / 698",71,"38 / 667"
"12","CBB","underdog","spread","underdog","ML",75,"5 / 667",93,"15 / 698",91,"146 / 667"
"13","CBB","favorite","ML","favorite","ML",NA,"NA / 529",70,"32 / 542",92,"4 / 529"
"14","CBB","favorite","ML","underdog","ML",68,"6 / 529",NA,"NA / 542",99,"10 / 529"
"15","CBB","favorite","spread","favorite","ML",15,"68 / 667",90,"6 / 698",90,"15 / 667"
"16","CBB","favorite","spread","underdog","ML",68,"11 / 667",NA,"NA / 698",NA,"NA / 667"
"17","CBB","away","ML","away","spread",13,"105 / 548",80,"8 / 548",87,"4 / 548"
"18","CBB","away","ML","home","spread",14,"92 / 548",68,"49 / 548",74,"38 / 548"
"19","CBB","away","spread","away","spread",17,"97 / 718",NA,"NA / 718",88,"6 / 718"
"20","CBB","away","spread","home","spread",NA,"NA / 718",67,"107 / 718",70,"117 / 718"
"21","CBB","home","ML","away","spread",NA,"NA / 548",64,"105 / 548",70,"71 / 548"
"22","CBB","home","ML","home","spread",20,"51 / 548",79,"4 / 548",95,"1 / 548"
"23","CBB","home","spread","away","spread",NA,"NA / 718",64,"117 / 718",NA,"NA / 718"
"24","CBB","home","spread","home","spread",20,"76 / 718",NA,"NA / 718",90,"12 / 718"
"25","CBB","underdog","ML","favorite","spread",13,"123 / 543",43,"281 / 543",58,"132 / 543"
"26","CBB","underdog","ML","underdog","spread",-9,"366 / 543",66,"137 / 543",69,"115 / 543"
"27","CBB","underdog","spread","favorite","spread",17,"110 / 713",58,"71 / 713",57,"175 / 713"
"28","CBB","underdog","spread","underdog","spread",NA,"NA / 713",64,"237 / 713",69,"175 / 713"
"29","CBB","favorite","ML","favorite","spread",NA,"NA / 543",69,"9 / 543",NA,"NA / 543"
"30","CBB","favorite","ML","underdog","spread",37,"1 / 543",80,"11 / 543",84,"11 / 543"
"31","CBB","favorite","spread","favorite","spread",NA,"NA / 713",NA,"NA / 713",NA,"NA / 713"
"32","CBB","favorite","spread","underdog","spread",21,"59 / 713",NA,"NA / 713",88,"15 / 713"
