"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",41,"40 / 364",NA,"NA / 423",72,"103 / 367"
"2","CBB","away","ML","home","ML",NA,"NA / 364",NA,"NA / 423",98,"16 / 367"
"3","CBB","away","spread","away","ML",9,"178 / 481",NA,"NA / 573",44,"247 / 486"
"4","CBB","away","spread","home","ML",75,"1 / 481",75,"90 / 573",NA,"NA / 486"
"5","CBB","home","ML","away","ML",88,"1 / 364",86,"20 / 423",98,"6 / 367"
"6","CBB","home","ML","home","ML",64,"2 / 364",92,"10 / 423",NA,"NA / 367"
"7","CBB","home","spread","away","ML",NA,"NA / 481",83,"30 / 573",98,"11 / 486"
"8","CBB","home","spread","home","ML",24,"124 / 481",NA,"NA / 573",NA,"NA / 486"
"9","CBB","underdog","ML","favorite","ML",NA,"NA / 357",NA,"NA / 416",NA,"NA / 360"
"10","CBB","underdog","ML","underdog","ML",NA,"NA / 357",NA,"NA / 416",98,"20 / 360"
"11","CBB","underdog","spread","favorite","ML",68,"3 / 474",NA,"NA / 566",66,"86 / 479"
"12","CBB","underdog","spread","underdog","ML",NA,"NA / 474",78,"78 / 566",NA,"NA / 479"
"13","CBB","favorite","ML","favorite","ML",48,"11 / 357",53,"140 / 416",91,"18 / 360"
"14","CBB","favorite","ML","underdog","ML",14,"164 / 357",92,"17 / 416",NA,"NA / 360"
"15","CBB","favorite","spread","favorite","ML",45,"19 / 474",62,"118 / 566",98,"4 / 479"
"16","CBB","favorite","spread","underdog","ML",13,"232 / 474",NA,"NA / 566",NA,"NA / 479"
"17","CBB","away","ML","away","spread",57,"1 / 443",NA,"NA / 443",100,"1 / 443"
"18","CBB","away","ML","home","spread",41,"8 / 443",74,"47 / 443",NA,"NA / 443"
"19","CBB","away","spread","away","spread",22,"109 / 610",75,"41 / 610",77,"91 / 610"
"20","CBB","away","spread","home","spread",50,"5 / 610",NA,"NA / 610",96,"6 / 610"
"21","CBB","home","ML","away","spread",NA,"NA / 443",73,"47 / 443",85,"40 / 443"
"22","CBB","home","ML","home","spread",60,"1 / 443",86,"2 / 443",88,"20 / 443"
"23","CBB","home","spread","away","spread",45,"17 / 610",81,"11 / 610",86,"40 / 610"
"24","CBB","home","spread","home","spread",27,"41 / 610",80,"34 / 610",79,"95 / 610"
"25","CBB","underdog","ML","favorite","spread",NA,"NA / 436",72,"9 / 436",NA,"NA / 436"
"26","CBB","underdog","ML","underdog","spread",NA,"NA / 436",73,"91 / 436",NA,"NA / 436"
"27","CBB","underdog","spread","favorite","spread",30,"54 / 603",70,"14 / 603",69,"106 / 603"
"28","CBB","underdog","spread","underdog","spread",60,"1 / 603",97,"1 / 603",94,"16 / 603"
"29","CBB","favorite","ML","favorite","spread",41,"17 / 436",59,"53 / 436",90,"13 / 436"
"30","CBB","favorite","ML","underdog","spread",12,"95 / 436",NA,"NA / 436",88,"29 / 436"
"31","CBB","favorite","spread","favorite","spread",43,"19 / 603",64,"42 / 603",NA,"NA / 603"
"32","CBB","favorite","spread","underdog","spread",21,"68 / 603",86,"6 / 603",88,"47 / 603"
