"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",NA,"NA / 532",85,"22 / 581",NA,"NA / 536"
"2","CBB","away","ML","home","ML",NA,"NA / 532",83,"29 / 581",NA,"NA / 536"
"3","CBB","away","spread","away","ML",63,"12 / 674",NA,"NA / 763",98,"22 / 678"
"4","CBB","away","spread","home","ML",NA,"NA / 674",90,"28 / 763",NA,"NA / 678"
"5","CBB","home","ML","away","ML",50,"26 / 532",96,"7 / 581",99,"8 / 536"
"6","CBB","home","ML","home","ML",39,"68 / 532",99,"1 / 581",92,"76 / 536"
"7","CBB","home","spread","away","ML",52,"27 / 674",96,"9 / 763",100,"1 / 678"
"8","CBB","home","spread","home","ML",48,"59 / 674",NA,"NA / 763",93,"108 / 678"
"9","CBB","underdog","ML","favorite","ML",39,"32 / 528",NA,"NA / 577",71,"79 / 532"
"10","CBB","underdog","ML","underdog","ML",NA,"NA / 528",90,"22 / 577",NA,"NA / 532"
"11","CBB","underdog","spread","favorite","ML",85,"1 / 670",NA,"NA / 759",NA,"NA / 674"
"12","CBB","underdog","spread","underdog","ML",NA,"NA / 670",94,"27 / 759",NA,"NA / 674"
"13","CBB","favorite","ML","favorite","ML",44,"24 / 528",82,"25 / 577",100,"1 / 532"
"14","CBB","favorite","ML","underdog","ML",57,"26 / 528",NA,"NA / 577",98,"43 / 532"
"15","CBB","favorite","spread","favorite","ML",48,"29 / 670",81,"38 / 759",81,"65 / 674"
"16","CBB","favorite","spread","underdog","ML",47,"74 / 670",NA,"NA / 759",97,"85 / 674"
"17","CBB","away","ML","away","spread",34,"26 / 607",NA,"NA / 607",NA,"NA / 607"
"18","CBB","away","ML","home","spread",NA,"NA / 607",NA,"NA / 607",NA,"NA / 607"
"19","CBB","away","spread","away","spread",NA,"NA / 807",NA,"NA / 807",NA,"NA / 807"
"20","CBB","away","spread","home","spread",NA,"NA / 807",79,"20 / 807",85,"45 / 807"
"21","CBB","home","ML","away","spread",39,"16 / 607",52,"272 / 607",89,"29 / 607"
"22","CBB","home","ML","home","spread",-1,"299 / 607",71,"44 / 607",74,"67 / 607"
"23","CBB","home","spread","away","spread",32,"51 / 807",83,"4 / 807",87,"46 / 807"
"24","CBB","home","spread","home","spread",42,"17 / 807",89,"3 / 807",97,"4 / 807"
"25","CBB","underdog","ML","favorite","spread",33,"30 / 603",72,"7 / 603",NA,"NA / 603"
"26","CBB","underdog","ML","underdog","spread",46,"2 / 603",83,"4 / 603",91,"19 / 603"
"27","CBB","underdog","spread","favorite","spread",NA,"NA / 803",70,"18 / 803",NA,"NA / 803"
"28","CBB","underdog","spread","underdog","spread",21,"92 / 803",82,"20 / 803",88,"49 / 803"
"29","CBB","favorite","ML","favorite","spread",37,"20 / 603",59,"70 / 603",89,"14 / 603"
"30","CBB","favorite","ML","underdog","spread",38,"10 / 603",75,"56 / 603",96,"4 / 603"
"31","CBB","favorite","spread","favorite","spread",37,"30 / 803",59,"89 / 803",86,"28 / 803"
"32","CBB","favorite","spread","underdog","spread",40,"15 / 803",89,"3 / 803",96,"7 / 803"
