"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",78,"1 / 220",79,"13 / 239",NA,"NA / 222"
"2","CBB","away","ML","home","ML",NA,"NA / 220",NA,"NA / 239",NA,"NA / 222"
"3","CBB","away","spread","away","ML",5,"102 / 276",58,"108 / 306",NA,"NA / 279"
"4","CBB","away","spread","home","ML",46,"20 / 276",74,"55 / 306",NA,"NA / 279"
"5","CBB","home","ML","away","ML",40,"17 / 220",NA,"NA / 239",98,"13 / 222"
"6","CBB","home","ML","home","ML",32,"26 / 220",66,"66 / 239",65,"91 / 222"
"7","CBB","home","spread","away","ML",51,"9 / 276",95,"1 / 306",100,"1 / 279"
"8","CBB","home","spread","home","ML",74,"1 / 276",86,"11 / 306",98,"15 / 279"
"9","CBB","underdog","ML","favorite","ML",NA,"NA / 217",63,"33 / 235",NA,"NA / 219"
"10","CBB","underdog","ML","underdog","ML",53,"10 / 217",NA,"NA / 235",NA,"NA / 219"
"11","CBB","underdog","spread","favorite","ML",-7,"116 / 273",48,"112 / 302",20,"158 / 276"
"12","CBB","underdog","spread","underdog","ML",52,"17 / 273",74,"71 / 302",99,"11 / 276"
"13","CBB","favorite","ML","favorite","ML",28,"25 / 217",84,"2 / 235",79,"20 / 219"
"14","CBB","favorite","ML","underdog","ML",57,"5 / 217",79,"28 / 235",71,"115 / 219"
"15","CBB","favorite","spread","favorite","ML",46,"11 / 273",86,"3 / 302",100,"1 / 276"
"16","CBB","favorite","spread","underdog","ML",NA,"NA / 273",86,"13 / 302",NA,"NA / 276"
"17","CBB","away","ML","away","spread",NA,"NA / 249",NA,"NA / 249",NA,"NA / 249"
"18","CBB","away","ML","home","spread",NA,"NA / 249",NA,"NA / 249",NA,"NA / 249"
"19","CBB","away","spread","away","spread",NA,"NA / 321",NA,"NA / 321",NA,"NA / 321"
"20","CBB","away","spread","home","spread",NA,"NA / 321",64,"76 / 321",76,"24 / 321"
"21","CBB","home","ML","away","spread",19,"55 / 249",75,"28 / 249",NA,"NA / 249"
"22","CBB","home","ML","home","spread",24,"16 / 249",43,"152 / 249",66,"40 / 249"
"23","CBB","home","spread","away","spread",27,"39 / 321",73,"39 / 321",80,"27 / 321"
"24","CBB","home","spread","home","spread",24,"18 / 321",75,"19 / 321",82,"10 / 321"
"25","CBB","underdog","ML","favorite","spread",31,"25 / 245",70,"4 / 245",NA,"NA / 245"
"26","CBB","underdog","ML","underdog","spread",NA,"NA / 245",NA,"NA / 245",NA,"NA / 245"
"27","CBB","underdog","spread","favorite","spread",NA,"NA / 317",54,"50 / 317",NA,"NA / 317"
"28","CBB","underdog","spread","underdog","spread",NA,"NA / 317",76,"42 / 317",99,"1 / 317"
"29","CBB","favorite","ML","favorite","spread",19,"67 / 245",77,"1 / 245",74,"27 / 245"
"30","CBB","favorite","ML","underdog","spread",33,"2 / 245",87,"1 / 245",70,"52 / 245"
"31","CBB","favorite","spread","favorite","spread",45,"5 / 317",77,"1 / 317",78,"19 / 317"
"32","CBB","favorite","spread","underdog","spread",31,"5 / 317",NA,"NA / 317",88,"12 / 317"
