"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",45,"20 / 538",NA,"NA / 549",94,"29 / 539"
"2","CBB","away","ML","home","ML",NA,"NA / 538",81,"25 / 549",98,"16 / 539"
"3","CBB","away","spread","away","ML",NA,"NA / 741",80,"32 / 781",94,"38 / 743"
"4","CBB","away","spread","home","ML",60,"16 / 741",NA,"NA / 781",NA,"NA / 743"
"5","CBB","home","ML","away","ML",63,"4 / 538",50,"254 / 549",62,"160 / 539"
"6","CBB","home","ML","home","ML",24,"116 / 538",92,"3 / 549",NA,"NA / 539"
"7","CBB","home","spread","away","ML",45,"26 / 741",94,"9 / 781",NA,"NA / 743"
"8","CBB","home","spread","home","ML",74,"5 / 741",88,"19 / 781",NA,"NA / 743"
"9","CBB","underdog","ML","favorite","ML",NA,"NA / 532",84,"11 / 543",85,"11 / 533"
"10","CBB","underdog","ML","underdog","ML",NA,"NA / 532",83,"17 / 543",98,"28 / 533"
"11","CBB","underdog","spread","favorite","ML",NA,"NA / 735",79,"28 / 775",97,"4 / 737"
"12","CBB","underdog","spread","underdog","ML",62,"17 / 735",84,"29 / 775",NA,"NA / 737"
"13","CBB","favorite","ML","favorite","ML",29,"23 / 532",51,"190 / 543",62,"59 / 533"
"14","CBB","favorite","ML","underdog","ML",28,"133 / 532",92,"5 / 543",NA,"NA / 533"
"15","CBB","favorite","spread","favorite","ML",12,"112 / 735",62,"134 / 775",28,"364 / 737"
"16","CBB","favorite","spread","underdog","ML",28,"200 / 735",NA,"NA / 775",99,"28 / 737"
"17","CBB","away","ML","away","spread",NA,"NA / 554",NA,"NA / 554",NA,"NA / 554"
"18","CBB","away","ML","home","spread",NA,"NA / 554",77,"16 / 554",NA,"NA / 554"
"19","CBB","away","spread","away","spread",47,"4 / 799",83,"6 / 799",NA,"NA / 799"
"20","CBB","away","spread","home","spread",26,"31 / 799",82,"15 / 799",96,"3 / 799"
"21","CBB","home","ML","away","spread",37,"10 / 554",70,"51 / 554",75,"46 / 554"
"22","CBB","home","ML","home","spread",31,"11 / 554",NA,"NA / 554",84,"8 / 554"
"23","CBB","home","spread","away","spread",21,"96 / 799",NA,"NA / 799",94,"8 / 799"
"24","CBB","home","spread","home","spread",67,"1 / 799",85,"5 / 799",90,"17 / 799"
"25","CBB","underdog","ML","favorite","spread",48,"2 / 548",71,"5 / 548",81,"8 / 548"
"26","CBB","underdog","ML","underdog","spread",NA,"NA / 548",72,"77 / 548",NA,"NA / 548"
"27","CBB","underdog","spread","favorite","spread",47,"4 / 793",62,"41 / 793",80,"17 / 793"
"28","CBB","underdog","spread","underdog","spread",29,"17 / 793",NA,"NA / 793",82,"47 / 793"
"29","CBB","favorite","ML","favorite","spread",37,"11 / 548",79,"1 / 548",91,"4 / 548"
"30","CBB","favorite","ML","underdog","spread",19,"39 / 548",NA,"NA / 548",88,"7 / 548"
"31","CBB","favorite","spread","favorite","spread",21,"109 / 793",85,"1 / 793",94,"5 / 793"
"32","CBB","favorite","spread","underdog","spread",83,"1 / 793",84,"8 / 793",91,"18 / 793"
