"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",32,"51 / 643",95,"2 / 658",92,"39 / 645"
"2","CBB","away","ML","home","ML",36,"67 / 643",71,"109 / 658",98,"23 / 645"
"3","CBB","away","spread","away","ML",48,"25 / 855",NA,"NA / 905",99,"9 / 858"
"4","CBB","away","spread","home","ML",66,"13 / 855",91,"17 / 905",NA,"NA / 858"
"5","CBB","home","ML","away","ML",NA,"NA / 643",79,"25 / 658",88,"56 / 645"
"6","CBB","home","ML","home","ML",79,"2 / 643",NA,"NA / 658",NA,"NA / 645"
"7","CBB","home","spread","away","ML",82,"1 / 855",78,"44 / 905",NA,"NA / 858"
"8","CBB","home","spread","home","ML",56,"24 / 855",NA,"NA / 905",NA,"NA / 858"
"9","CBB","underdog","ML","favorite","ML",24,"38 / 632",83,"7 / 646",82,"11 / 634"
"10","CBB","underdog","ML","underdog","ML",42,"66 / 632",81,"38 / 646",98,"35 / 634"
"11","CBB","underdog","spread","favorite","ML",44,"19 / 844",NA,"NA / 893",NA,"NA / 847"
"12","CBB","underdog","spread","underdog","ML",77,"5 / 844",85,"42 / 893",NA,"NA / 847"
"13","CBB","favorite","ML","favorite","ML",60,"1 / 632",97,"1 / 646",55,"96 / 634"
"14","CBB","favorite","ML","underdog","ML",75,"7 / 632",NA,"NA / 646",NA,"NA / 634"
"15","CBB","favorite","spread","favorite","ML",60,"5 / 844",69,"78 / 893",64,"91 / 847"
"16","CBB","favorite","spread","underdog","ML",55,"33 / 844",NA,"NA / 893",NA,"NA / 847"
"17","CBB","away","ML","away","spread",24,"48 / 662",85,"2 / 662",87,"15 / 662"
"18","CBB","away","ML","home","spread",34,"12 / 662",70,"64 / 662",82,"13 / 662"
"19","CBB","away","spread","away","spread",NA,"NA / 921",81,"13 / 921",99,"1 / 921"
"20","CBB","away","spread","home","spread",NA,"NA / 921",81,"26 / 921",NA,"NA / 921"
"21","CBB","home","ML","away","spread",40,"2 / 662",74,"35 / 662",NA,"NA / 662"
"22","CBB","home","ML","home","spread",24,"33 / 662",81,"6 / 662",69,"99 / 662"
"23","CBB","home","spread","away","spread",40,"9 / 921",71,"57 / 921",83,"30 / 921"
"24","CBB","home","spread","home","spread",20,"96 / 921",NA,"NA / 921",69,"200 / 921"
"25","CBB","underdog","ML","favorite","spread",24,"45 / 650",NA,"NA / 650",NA,"NA / 650"
"26","CBB","underdog","ML","underdog","spread",36,"8 / 650",73,"80 / 650",93,"4 / 650"
"27","CBB","underdog","spread","favorite","spread",37,"17 / 909",NA,"NA / 909",NA,"NA / 909"
"28","CBB","underdog","spread","underdog","spread",41,"6 / 909",89,"5 / 909",NA,"NA / 909"
"29","CBB","favorite","ML","favorite","spread",40,"3 / 650",58,"68 / 650",72,"27 / 650"
"30","CBB","favorite","ML","underdog","spread",14,"104 / 650",84,"4 / 650",84,"17 / 650"
"31","CBB","favorite","spread","favorite","spread",41,"8 / 909",58,"85 / 909",71,"53 / 909"
"32","CBB","favorite","spread","underdog","spread",7,"252 / 909",NA,"NA / 909",77,"130 / 909"
