"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",69,2,NA,NA,100,1
"2","CBB","away","ML","home","ML",36,58,85,5,NA,NA
"3","CBB","away","spread","away","ML",68,3,NA,NA,100,1
"4","CBB","away","spread","home","ML",32,120,82,36,99,12
"5","CBB","home","ML","away","ML",43,20,86,11,83,86
"6","CBB","home","ML","home","ML",86,2,91,2,98,13
"7","CBB","home","spread","away","ML",37,47,82,26,88,94
"8","CBB","home","spread","home","ML",88,1,98,4,NA,NA
"9","CBB","underdog","ML","favorite","ML",NA,NA,NA,NA,NA,NA
"10","CBB","underdog","ML","underdog","ML",41,54,86,12,NA,NA
"11","CBB","underdog","spread","favorite","ML",NA,NA,NA,NA,NA,NA
"12","CBB","underdog","spread","underdog","ML",33,143,84,36,99,18
"13","CBB","favorite","ML","favorite","ML",13,52,74,20,72,20
"14","CBB","favorite","ML","underdog","ML",69,4,80,31,100,1
"15","CBB","favorite","spread","favorite","ML",22,64,72,38,73,56
"16","CBB","favorite","spread","underdog","ML",65,10,98,4,100,1
"17","CBB","away","ML","away","spread",NA,NA,85,2,NA,NA
"18","CBB","away","ML","home","spread",46,1,NA,NA,82,11
"19","CBB","away","spread","away","spread",21,90,NA,NA,NA,NA
"20","CBB","away","spread","home","spread",NA,NA,92,1,80,55
"21","CBB","home","ML","away","spread",27,28,76,30,74,68
"22","CBB","home","ML","home","spread",28,24,76,12,73,45
"23","CBB","home","spread","away","spread",36,19,76,42,75,75
"24","CBB","home","spread","home","spread",31,24,NA,NA,89,19
"25","CBB","underdog","ML","favorite","spread",NA,NA,69,5,67,53
"26","CBB","underdog","ML","underdog","spread",20,56,78,16,78,45
"27","CBB","underdog","spread","favorite","spread",20,104,70,7,NA,NA
"28","CBB","underdog","spread","underdog","spread",NA,NA,84,12,78,96
"29","CBB","favorite","ML","favorite","spread",29,16,74,1,75,19
"30","CBB","favorite","ML","underdog","spread",31,15,84,3,89,7
"31","CBB","favorite","spread","favorite","spread",36,17,60,74,84,11
"32","CBB","favorite","spread","underdog","spread",31,25,NA,NA,89,25
