"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CFB","away","ML","away","ML",NA,"NA / 1366",91,"12 / 1387",NA,"NA / 1366"
"2","CFB","away","ML","home","ML",54,"15 / 1366",81,"14 / 1387",98,"8 / 1366"
"3","CFB","away","spread","away","ML",63,"8 / 2161",NA,"NA / 2222",NA,"NA / 2164"
"4","CFB","away","spread","home","ML",66,"8 / 2161",74,"99 / 2222",98,"28 / 2164"
"5","CFB","home","ML","away","ML",42,"40 / 1366",78,"46 / 1387",99,"7 / 1366"
"6","CFB","home","ML","home","ML",NA,"NA / 1366",NA,"NA / 1387",NA,"NA / 1366"
"7","CFB","home","spread","away","ML",43,"74 / 2161",78,"100 / 2222",NA,"NA / 2164"
"8","CFB","home","spread","home","ML",41,"118 / 2161",NA,"NA / 2222",NA,"NA / 2164"
"9","CFB","underdog","ML","favorite","ML",36,"58 / 1356",NA,"NA / 1377",NA,"NA / 1356"
"10","CFB","underdog","ML","underdog","ML",47,"41 / 1356",78,"19 / 1377",NA,"NA / 1356"
"11","CFB","underdog","spread","favorite","ML",63,"7 / 2151",NA,"NA / 2212",NA,"NA / 2154"
"12","CFB","underdog","spread","underdog","ML",64,"10 / 2151",75,"73 / 2212",NA,"NA / 2154"
"13","CFB","favorite","ML","favorite","ML",84,"1 / 1356",99,"1 / 1377",96,"24 / 1356"
"14","CFB","favorite","ML","underdog","ML",NA,"NA / 1356",90,"1 / 1377",NA,"NA / 1356"
"15","CFB","favorite","spread","favorite","ML",49,"47 / 2151",78,"101 / 2212",98,"56 / 2154"
"16","CFB","favorite","spread","underdog","ML",58,"17 / 2151",NA,"NA / 2212",NA,"NA / 2154"
"17","CFB","away","ML","away","spread",41,"12 / 1392",85,"1 / 1392",85,"27 / 1392"
"18","CFB","away","ML","home","spread",27,"51 / 1392",71,"64 / 1392",74,"68 / 1392"
"19","CFB","away","spread","away","spread",27,"77 / 2289",80,"46 / 2289",85,"55 / 2289"
"20","CFB","away","spread","home","spread",22,"147 / 2289",94,"1 / 2289",91,"26 / 2289"
"21","CFB","home","ML","away","spread",NA,"NA / 1392",59,"426 / 1392",55,"594 / 1392"
"22","CFB","home","ML","home","spread",NA,"NA / 1392",80,"7 / 1392",NA,"NA / 1392"
"23","CFB","home","spread","away","spread",45,"8 / 2289",85,"6 / 2289",91,"16 / 2289"
"24","CFB","home","spread","home","spread",60,"1 / 2289",78,"70 / 2289",96,"5 / 2289"
"25","CFB","underdog","ML","favorite","spread",NA,"NA / 1382",NA,"NA / 1382",83,"16 / 1382"
"26","CFB","underdog","ML","underdog","spread",21,"64 / 1382",61,"523 / 1382",58,"552 / 1382"
"27","CFB","underdog","spread","favorite","spread",30,"79 / 2279",74,"5 / 2279",82,"26 / 2279"
"28","CFB","underdog","spread","underdog","spread",20,"128 / 2279",86,"6 / 2279",91,"37 / 2279"
"29","CFB","favorite","ML","favorite","spread",43,"6 / 1382",63,"51 / 1382",NA,"NA / 1382"
"30","CFB","favorite","ML","underdog","spread",NA,"NA / 1382",85,"1 / 1382",NA,"NA / 1382"
"31","CFB","favorite","spread","favorite","spread",44,"10 / 2279",59,"138 / 2279",91,"5 / 2279"
"32","CFB","favorite","spread","underdog","spread",NA,"NA / 2279",80,"88 / 2279",NA,"NA / 2279"
