"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","MLB","away","ML","away","ML",39,"22 / 7997",91,"6 / 7998",NA,"NA / 7997"
"2","MLB","away","ML","home","ML",28,"222 / 7997",87,"28 / 7998",97,"30 / 7997"
"3","MLB","away","spread","away","ML",37,"27 / 8001",91,"6 / 8002",NA,"NA / 8001"
"4","MLB","away","spread","home","ML",53,"1 / 8001",87,"28 / 8002",NA,"NA / 8001"
"5","MLB","home","ML","away","ML",23,"270 / 7997",84,"179 / 7998",91,"174 / 7997"
"6","MLB","home","ML","home","ML",38,"33 / 7997",90,"4 / 7998",99,"1 / 7997"
"7","MLB","home","spread","away","ML",46,"6 / 8001",85,"133 / 8002",91,"174 / 8001"
"8","MLB","home","spread","home","ML",38,"33 / 8001",92,"2 / 8002",99,"1 / 8001"
"9","MLB","underdog","ML","favorite","ML",37,"34 / 7975",68,"87 / 7976",84,"24 / 7975"
"10","MLB","underdog","ML","underdog","ML",28,"217 / 7975",85,"186 / 7976",94,"162 / 7975"
"11","MLB","underdog","spread","favorite","ML",33,"64 / 7979",73,"24 / 7980",73,"114 / 7979"
"12","MLB","underdog","spread","underdog","ML",42,"10 / 7979",86,"133 / 7980",97,"38 / 7979"
"13","MLB","favorite","ML","favorite","ML",51,"4 / 7975",77,"3 / 7976",NA,"NA / 7975"
"14","MLB","favorite","ML","underdog","ML",38,"27 / 7975",91,"8 / 7976",NA,"NA / 7975"
"15","MLB","favorite","spread","favorite","ML",51,"4 / 7979",76,"4 / 7980",NA,"NA / 7979"
"16","MLB","favorite","spread","underdog","ML",39,"20 / 7979",91,"8 / 7980",NA,"NA / 7979"
"17","MLB","away","ML","away","spread",NA,"NA / 7998",97,"4 / 7998",NA,"NA / 7998"
"18","MLB","away","ML","home","spread",42,"144 / 7998",97,"6 / 7998",NA,"NA / 7998"
"19","MLB","away","spread","away","spread",41,"259 / 8002",97,"4 / 8002",98,"45 / 8002"
"20","MLB","away","spread","home","spread",57,"26 / 8002",97,"6 / 8002",NA,"NA / 8002"
"21","MLB","home","ML","away","spread",63,"15 / 7998",NA,"NA / 7998",99,"18 / 7998"
"22","MLB","home","ML","home","spread",81,"2 / 7998",NA,"NA / 7998",NA,"NA / 7998"
"23","MLB","home","spread","away","spread",59,"28 / 8002",NA,"NA / 8002",NA,"NA / 8002"
"24","MLB","home","spread","home","spread",NA,"NA / 8002",NA,"NA / 8002",NA,"NA / 8002"
"25","MLB","underdog","ML","favorite","spread",81,"1 / 7976",74,"81 / 7976",95,"51 / 7976"
"26","MLB","underdog","ML","underdog","spread",45,"64 / 7976",98,"5 / 7976",NA,"NA / 7976"
"27","MLB","underdog","spread","favorite","spread",81,"1 / 7980",74,"81 / 7980",NA,"NA / 7980"
"28","MLB","underdog","spread","underdog","spread",56,"16 / 7980",NA,"NA / 7980",NA,"NA / 7980"
"29","MLB","favorite","ML","favorite","spread",57,"47 / 7976",NA,"NA / 7976",NA,"NA / 7976"
"30","MLB","favorite","ML","underdog","spread",NA,"NA / 7976",99,"1 / 7976",NA,"NA / 7976"
"31","MLB","favorite","spread","favorite","spread",63,"18 / 7980",NA,"NA / 7980",NA,"NA / 7980"
"32","MLB","favorite","spread","underdog","spread",NA,"NA / 7980",97,"10 / 7980",NA,"NA / 7980"
