"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","NBA","away","ML","away","ML",34,"228 / 3612",96,"1 / 3626",98,"45 / 3612"
"2","NBA","away","ML","home","ML",NA,"NA / 3612",80,"77 / 3626",98,"25 / 3612"
"3","NBA","away","spread","away","ML",30,"347 / 4260",NA,"NA / 4278",100,"1 / 4260"
"4","NBA","away","spread","home","ML",NA,"NA / 4260",NA,"NA / 4278",NA,"NA / 4260"
"5","NBA","home","ML","away","ML",NA,"NA / 3612",86,"34 / 3626",NA,"NA / 3612"
"6","NBA","home","ML","home","ML",65,"26 / 3612",NA,"NA / 3626",NA,"NA / 3612"
"7","NBA","home","spread","away","ML",NA,"NA / 4260",83,"69 / 4278",NA,"NA / 4260"
"8","NBA","home","spread","home","ML",70,"17 / 4260",81,"76 / 4278",NA,"NA / 4260"
"9","NBA","underdog","ML","favorite","ML",55,"9 / 3590",NA,"NA / 3604",91,"14 / 3590"
"10","NBA","underdog","ML","underdog","ML",NA,"NA / 3590",89,"26 / 3604",NA,"NA / 3590"
"11","NBA","underdog","spread","favorite","ML",46,"25 / 4238",NA,"NA / 4256",92,"18 / 4238"
"12","NBA","underdog","spread","underdog","ML",NA,"NA / 4238",89,"32 / 4256",NA,"NA / 4238"
"13","NBA","favorite","ML","favorite","ML",79,"1 / 3590",77,"81 / 3604",NA,"NA / 3590"
"14","NBA","favorite","ML","underdog","ML",52,"126 / 3590",96,"1 / 3604",99,"29 / 3590"
"15","NBA","favorite","spread","favorite","ML",64,"3 / 4238",79,"74 / 4256",NA,"NA / 4238"
"16","NBA","favorite","spread","underdog","ML",69,"31 / 4238",82,"113 / 4256",100,"1 / 4238"
"17","NBA","away","ML","away","spread",34,"57 / 3629",84,"30 / 3629",87,"57 / 3629"
"18","NBA","away","ML","home","spread",33,"77 / 3629",75,"76 / 3629",91,"14 / 3629"
"19","NBA","away","spread","away","spread",28,"148 / 4283",86,"15 / 4283",81,"196 / 4283"
"20","NBA","away","spread","home","spread",56,"1 / 4283",80,"24 / 4283",91,"22 / 4283"
"21","NBA","home","ML","away","spread",NA,"NA / 3629",NA,"NA / 3629",96,"4 / 3629"
"22","NBA","home","ML","home","spread",38,"37 / 3629",86,"1 / 3629",89,"22 / 3629"
"23","NBA","home","spread","away","spread",NA,"NA / 4283",NA,"NA / 4283",NA,"NA / 4283"
"24","NBA","home","spread","home","spread",37,"57 / 4283",NA,"NA / 4283",NA,"NA / 4283"
"25","NBA","underdog","ML","favorite","spread",34,"41 / 3607",70,"17 / 3607",71,"115 / 3607"
"26","NBA","underdog","ML","underdog","spread",54,"2 / 3607",NA,"NA / 3607",92,"22 / 3607"
"27","NBA","underdog","spread","favorite","spread",34,"43 / 4261",72,"13 / 4261",71,"123 / 4261"
"28","NBA","underdog","spread","underdog","spread",56,"1 / 4261",NA,"NA / 4261",91,"41 / 4261"
"29","NBA","favorite","ML","favorite","spread",NA,"NA / 3607",77,"2 / 3607",NA,"NA / 3607"
"30","NBA","favorite","ML","underdog","spread",42,"26 / 3607",84,"31 / 3607",89,"51 / 3607"
"31","NBA","favorite","spread","favorite","spread",NA,"NA / 4261",75,"5 / 4261",NA,"NA / 4261"
"32","NBA","favorite","spread","underdog","spread",41,"42 / 4261",87,"11 / 4261",NA,"NA / 4261"
