"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","NFL","away","ML","away","ML",37,"14 / 716",71,"34 / 716",89,"40 / 716"
"2","NFL","away","ML","home","ML",NA,"NA / 716",67,"30 / 716",97,"6 / 716"
"3","NFL","away","spread","away","ML",49,"3 / 787",67,"78 / 787",90,"37 / 787"
"4","NFL","away","spread","home","ML",22,"159 / 787",73,"9 / 787",76,"169 / 787"
"5","NFL","home","ML","away","ML",30,"37 / 716",NA,"NA / 716",NA,"NA / 716"
"6","NFL","home","ML","home","ML",45,"7 / 716",75,"2 / 716",NA,"NA / 716"
"7","NFL","home","spread","away","ML",35,"18 / 787",NA,"NA / 787",98,"1 / 787"
"8","NFL","home","spread","home","ML",42,"13 / 787",NA,"NA / 787",NA,"NA / 787"
"9","NFL","underdog","ML","favorite","ML",24,"38 / 701",66,"39 / 701",97,"3 / 701"
"10","NFL","underdog","ML","underdog","ML",NA,"NA / 701",68,"54 / 701",98,"5 / 701"
"11","NFL","underdog","spread","favorite","ML",49,"3 / 772",66,"39 / 772",97,"3 / 772"
"12","NFL","underdog","spread","underdog","ML",32,"66 / 772",95,"1 / 772",98,"5 / 772"
"13","NFL","favorite","ML","favorite","ML",36,"15 / 701",NA,"NA / 701",73,"38 / 701"
"14","NFL","favorite","ML","underdog","ML",40,"14 / 701",75,"8 / 701",93,"36 / 701"
"15","NFL","favorite","spread","favorite","ML",30,"28 / 772",76,"3 / 772",72,"44 / 772"
"16","NFL","favorite","spread","underdog","ML",41,"14 / 772",76,"8 / 772",94,"31 / 772"
"17","NFL","away","ML","away","spread",NA,"NA / 716",82,"4 / 716",78,"19 / 716"
"18","NFL","away","ML","home","spread",21,"34 / 716",73,"14 / 716",77,"10 / 716"
"19","NFL","away","spread","away","spread",NA,"NA / 787",79,"14 / 787",81,"12 / 787"
"20","NFL","away","spread","home","spread",20,"46 / 787",68,"57 / 787",88,"1 / 787"
"21","NFL","home","ML","away","spread",24,"13 / 716",73,"54 / 716",95,"2 / 716"
"22","NFL","home","ML","home","spread",35,"2 / 716",NA,"NA / 716",73,"24 / 716"
"23","NFL","home","spread","away","spread",20,"25 / 787",NA,"NA / 787",88,"5 / 787"
"24","NFL","home","spread","home","spread",NA,"NA / 787",78,"1 / 787",73,"34 / 787"
"25","NFL","underdog","ML","favorite","spread",7,"250 / 701",55,"75 / 701",64,"51 / 701"
"26","NFL","underdog","ML","underdog","spread",21,"14 / 701",73,"67 / 701",95,"2 / 701"
"27","NFL","underdog","spread","favorite","spread",NA,"NA / 772",55,"79 / 772",71,"10 / 772"
"28","NFL","underdog","spread","underdog","spread",21,"16 / 772",NA,"NA / 772",88,"5 / 772"
"29","NFL","favorite","ML","favorite","spread",20,"45 / 701",74,"1 / 701",NA,"NA / 701"
"30","NFL","favorite","ML","underdog","spread",17,"39 / 701",82,"4 / 701",80,"12 / 701"
"31","NFL","favorite","spread","favorite","spread",18,"68 / 772",74,"1 / 772",NA,"NA / 772"
"32","NFL","favorite","spread","underdog","spread",18,"39 / 772",78,"18 / 772",81,"14 / 772"
