"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","NHL","away","ML","away","ML",40,"86 / 4028",87,"14 / 4031",NA,"NA / 4028"
"2","NHL","away","ML","home","ML",52,"12 / 4028",82,"96 / 4031",NA,"NA / 4028"
"3","NHL","away","spread","away","ML",39,"96 / 4029",84,"46 / 4032",94,"76 / 4029"
"4","NHL","away","spread","home","ML",41,"74 / 4029",82,"96 / 4032",99,"16 / 4029"
"5","NHL","home","ML","away","ML",NA,"NA / 4028",NA,"NA / 4031",100,"1 / 4028"
"6","NHL","home","ML","home","ML",36,"136 / 4028",NA,"NA / 4031",98,"35 / 4028"
"7","NHL","home","spread","away","ML",NA,"NA / 4029",NA,"NA / 4032",99,"8 / 4029"
"8","NHL","home","spread","home","ML",NA,"NA / 4029",86,"17 / 4032",NA,"NA / 4029"
"9","NHL","underdog","ML","favorite","ML",40,"34 / 4026",80,"1 / 4029",80,"65 / 4026"
"10","NHL","underdog","ML","underdog","ML",55,"5 / 4026",NA,"NA / 4029",100,"1 / 4026"
"11","NHL","underdog","spread","favorite","ML",54,"6 / 4027",80,"1 / 4030",80,"65 / 4027"
"12","NHL","underdog","spread","underdog","ML",46,"58 / 4027",NA,"NA / 4030",99,"23 / 4027"
"13","NHL","favorite","ML","favorite","ML",NA,"NA / 4026",70,"40 / 4029",89,"15 / 4026"
"14","NHL","favorite","ML","underdog","ML",39,"154 / 4026",87,"23 / 4029",NA,"NA / 4026"
"15","NHL","favorite","spread","favorite","ML",NA,"NA / 4027",70,"40 / 4030",89,"15 / 4027"
"16","NHL","favorite","spread","underdog","ML",NA,"NA / 4027",86,"42 / 4030",NA,"NA / 4027"
"17","NHL","away","ML","away","spread",54,"113 / 4031",NA,"NA / 4031",NA,"NA / 4031"
"18","NHL","away","ML","home","spread",NA,"NA / 4031",96,"11 / 4031",NA,"NA / 4031"
"19","NHL","away","spread","away","spread",54,"113 / 4032",NA,"NA / 4032",98,"80 / 4032"
"20","NHL","away","spread","home","spread",91,"3 / 4032",NA,"NA / 4032",NA,"NA / 4032"
"21","NHL","home","ML","away","spread",NA,"NA / 4031",86,"116 / 4031",NA,"NA / 4031"
"22","NHL","home","ML","home","spread",64,"66 / 4031",99,"1 / 4031",99,"51 / 4031"
"23","NHL","home","spread","away","spread",86,"12 / 4032",95,"19 / 4032",NA,"NA / 4032"
"24","NHL","home","spread","home","spread",80,"13 / 4032",88,"92 / 4032",NA,"NA / 4032"
"25","NHL","underdog","ML","favorite","spread",NA,"NA / 4029",NA,"NA / 4029",96,"26 / 4029"
"26","NHL","underdog","ML","underdog","spread",NA,"NA / 4029",97,"14 / 4029",NA,"NA / 4029"
"27","NHL","underdog","spread","favorite","spread",69,"9 / 4030",NA,"NA / 4030",94,"48 / 4030"
"28","NHL","underdog","spread","underdog","spread",87,"17 / 4030",NA,"NA / 4030",NA,"NA / 4030"
"29","NHL","favorite","ML","favorite","spread",58,"32 / 4029",80,"182 / 4029",98,"13 / 4029"
"30","NHL","favorite","ML","underdog","spread",54,"173 / 4029",99,"1 / 4029",NA,"NA / 4029"
"31","NHL","favorite","spread","favorite","spread",NA,"NA / 4030",96,"9 / 4030",100,"3 / 4030"
"32","NHL","favorite","spread","underdog","spread",62,"119 / 4030",84,"198 / 4030",99,"97 / 4030"
