"away_team","home_team","away_spread","home_spread","away_ml","home_ml","away_spread_line","home_spread_line","est_time","x","league","spread_bets_away","spread_bets_home","ml_bets_away","ml_bets_home","statements_away_spread","statements_home_spread","statements_away_ml","statements_home_ml","gamecode"
"Rice","Evansville","-4.5","4.5","-245","175","-112","-115",2021-11-22 11:00:00,15,"cbb - cusa",0,0,0,2,"","",""," 

The bet is the home team, the Evansville, against the Rice at 2021-11-22 12:00:00 on the moneyline at 175. This is because the sharps are 13 percent more on the Evansville spread, and home teams receiving -1 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 299 / 607 games played in the last four years in the cbb - cusa . 

The bet is the home team, the Evansville, against the Rice at 2021-11-22 12:00:00 on the moneyline at 175. This is because the publics are 79 percent on the Rice spread, and when away teams are receiving 52 percent from the publics on the spread, the home team has an eROI of 10% or better over a sample size of 272 / 607 games played in the last four years in the cbb - cusa .","RiceEvansville"
"Toledo","Charlotte","-2","2","-134","112","-112","-109",2021-11-22 12:00:00,15,"cbb - cusa",0,0,0,0,"","","","","ToledoCharlotte"
"Bradley","Duquesne","1.5","-1.5","105","-126","-107","-112",2021-11-22 13:00:00,13,"cbb - a10",0,0,0,0,"","","","","BradleyDuquesne"
"Texas A&M","Wisconsin","3","-3","130","-153","-109","-111",2021-11-22 14:00:00,5,"cbb - sec",0,0,1,0," 

"," 

"," 

The bet is the away team, the Texas A&M, against the Wisconsin at 2021-11-22 15:00:00 on the moneyline at 130. This is because the sharps are 53 percent more on the Wisconsin moneyline, and when home teams are receiving 36 percent more from the sharps, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 67 / 643 games played in the last four years in the cbb - sec . 

"," 

","Texas A&MWisconsin"
"Texas A&M","Wisconsin","3","-3","130","-153","-109","-111",2021-11-22 14:00:00,7,"cbb - big10",0,0,0,0,"","","","","Texas A&MWisconsin"
"Drexel","Tulane","2","-2","110","-134","-107","-112",2021-11-22 14:30:00,14,"cbb - aac",2,1,5,2," 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the spread at 2. This is because the sharps are 36 percent more on the Tulane spread, and when home teams are receiving 17 percent more from the sharps, betting the spread for the away team has an eROI of 10% or better over a sample size of 82 / 668 games played in the last four years in the cbb - aac . 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the spread at 2. This is because the moneys are 98 percent on the Tulane spread, and when home teams are receiving 61 percent from the moneys, betting the spread for the away team has an eROI of 10% or better over a sample size of 190 / 668 games played in the last four years in the cbb - aac ."," 

The bet is the home team, the Tulane, against the Drexel at 2021-11-22 15:30:00 on the spread at -2. This is because the sharps are 47 percent more on the Drexel moneyline, and when the away team is receiving 37 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 39 / 610 games played in the last four years in the cbb - aac ."," 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the moneyline at 110. This is because the sharps are 36 percent more on the Tulane spread, and when home teams are receiving -7 percent more from the sharps, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 311 / 477 games played in the last four years in the cbb - aac . 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the moneyline at 110. This is because the publics are 67 percent on the Tulane moneyline, and when home teams are receiving 60 percent from the publics, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 156 / 473 games played in the last four years in the cbb - aac . 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the moneyline at 110. This is because the moneys are 98 percent on the Tulane spread, and when home teams are receiving 59 percent from the moneys, betting the moneyline for the away team has an eROI of 10% or better over a sample size of 134 / 477 games played in the last four years in the cbb - aac . 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the moneyline at 110. This is because the sharps are 47 percent more on the Drexel moneyline, and away teams receiving 38 percent more from the sharps have an eROI of 10% or better over a sample size of 22 / 454 games played in the last four years in the cbb - aac . 

The bet is the away team, the Drexel, against the Tulane at 2021-11-22 15:30:00 on the moneyline at 110. This is because the moneys are 80 percent on the Drexel moneyline, and away teams receiving 69 percent from the moneys have an eROI of 10% or better over a sample size of 114 / 454 games played in the last four years in the cbb - aac ."," 

The bet is the home team, the Tulane, against the Drexel at 2021-11-22 15:30:00 on the moneyline at -134. This is because the sharps are 36 percent more on the Tulane spread, and home teams receiving 23 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 28 / 477 games played in the last four years in the cbb - aac . 

The bet is the home team, the Tulane, against the Drexel at 2021-11-22 15:30:00 on the moneyline at -134. This is because the sharps are 47 percent more on the Drexel moneyline, and when the away team is receiving 35 percent more from the sharps on the moneyline, the home team has an eROI of 10% or better over a sample size of 27 / 454 games played in the last four years in the cbb - aac .","DrexelTulane"
"Wright State","G Washington","-8","8","-370","277","-112","-108",2021-11-22 14:30:00,13,"cbb - a10",0,2,0,1,""," 

The bet is the home team, the G Washington, against the Wright State at 2021-11-22 15:30:00 on the spread at 8. This is because the sharps are 23 percent more on the G Washington spread, and home teams receiving 17 percent more from the sharps on the spread have an eROI of 10% or better over a sample size of 123 / 846 games played in the last four years in the cbb - a10 . 

The bet is the home team, the G Washington, against the Wright State at 2021-11-22 15:30:00 on the spread at 8. This is because the moneys are 78 percent on the G Washington spread, and home teams receiving 72 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 124 / 846 games played in the last four years in the cbb - a10 .",""," 

The bet is the home team, the G Washington, against the Wright State at 2021-11-22 15:30:00 on the moneyline at 277. This is because the moneys are 78 percent on the G Washington spread, and home teams receiving 69 percent from the moneys on the spread have an eROI of 10% or better over a sample size of 102 / 654 games played in the last four years in the cbb - a10 .","Wright StateG Washington"
"Brown","Colorado","12.5","-12.5","500","-700","-110","-110",2021-11-22 15:15:00,9,"cbb - pac12",0,0,0,0," 

"," 

"," 

"," 

","BrownColorado"
"Brown","Colorado","12.5","-12.5","500","-700","-110","-110",2021-11-22 15:15:00,10,"cbb - ivy",0,0,0,0,"","","","","BrownColorado"
"Butler","Houston","9.5","-9.5","325","-400","-110","-109",2021-11-22 16:30:00,12,"cbb - bigeast",0,0,0,0," 

"," 

"," 

"," 

","ButlerHouston"
